mr,ref
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]","food_x restaurant in area_x, near near_x, try name_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","The area_x has food_x food via a eatType_x, name_x.familyFriendly_x priceRange_x, this eatery is located near near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","There is a medium customer rating_x, area_x sushi bar called name_x located next to near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","food_x restaurant, area_x priced, familyFriendly_x and lowly rated name_x is located near the near_x."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x in the area_x area, is priceRange_x, familyFriendly_x and has an customer rating_x customer rating."
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]",Near near_x familyFriendly_x-food restaurant named name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",food_x three stars and it's a area_x location.
"name[name_x], food[food_x], area[area_x], familyFriendly[no], near[near_x]",name_x serves food_x food near near_x in area_x and is not familyFriendly_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x food_x eatery in the area_x. It is in the priceRange_x price range
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is familyFriendly_x which serves food_x food and is located near_x area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x]","In the area_x is name_x, which has a customer rating of customer rating_x out of 5, serves food_x food and has a price range of priceRange_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",eatType_x customer rating_xly by customers and serves food_x food.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is familyFriendly_x that serves food_x food in the area_x.  It is near the near_x and has a customer rating_x customer rating.
"name[name_x], food[food_x], familyFriendly[yes]",name_x is an food_x restaurant with familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",food_x-rated area_x customer rating_x to adults.  Prices reflect the familyFriendly_x.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]","Offering familyFriendly_x, name_x serves food_x food in the area_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]","name_x is a mature area_x food_x with a competitive menu for under £20, near the near_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x is not recommended familyFriendly_x's a customer rating_x rated eatType_x serving food_x.  It's located in the area_x area, close to near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5]",name_x eatType_x serves food_x priceRange_x prices customer rating_x out of 5 customer rating
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","With a priceRange_x price range food_x rating, name_x is a familyFriendly_x eatType_x near near_x by a area_x in the City centre."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",The priceRange_xly price ranged food_x dish name_x is customer customer rating_x
"name[name_x], food[food_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a food_x restaurant located in area_x near near_x.  It is not familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is rated customer rating_x and is a food_x eatType_x.
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]","name_x, is food_x near near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]",food_x priceRange_x where you will get value for money selection of cheese and wine.  Situated in the city center. customer rating_x to near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","familyFriendly_x, name_x is located in area_x near near_x. The priceRange_xly priced Rice Boat restaurant specializes in food_x cuisine."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",By near_x with priceRange_x price customer rating_x customer Rating name_x is also familyFriendly_x
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",in area_x is a food_x familyFriendly_x called name_x near near_x
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[no]","name_x is an establishment serving food_x cuisine which he's earned it a customer rating_x out if 5 customer rating, but it is not familyFriendly_x restaurant."
"name[name_x], food[food_x], area[area_x]",name_x is a food_x choice if you are in the area_x area.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x, stunning eatType_x familyFriendly_x. Yes,  customer rating_x customer rating.. Yes,  beautiful view.. area_x and the very best food_x food ."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",In area_x you will find a food_x eatType_x called name_x. It is familyFriendly_x has a priceRange_x price range.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]","food_x priceRange_xly priced, familyFriendly_x restaurant located in area_x near near_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is near near_x in area_x. It serves food_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[yes]",priceRange_x food_x food can be found at the familyFriendly_x restaurant name_x. Its customer Rating is customer rating_x out of 5.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",name_x is a priceRange_xly priced food_x eatType_x located near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]","The food_x, familyFriendly_x eatType_x priceRange_x food in attractive prices."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x is a nice eatType_x in the area_x area, with a familyFriendly_x and warm clientele  and food_x food service"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",customer rating_x price option for dinner.
"name[name_x], food[food_x], priceRange[priceRange_x]","If you're in the mood for some food_x name_x is the place for you, offering burgers, fries, and other fatty snacks at a priceRange_x price."
"name[name_x], eatType[eatType_x], food[food_x], near[near_x]","name_x, located near the near_x, is a food_x eatType_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a food_x place with priceRange_x prices and a low customer familyFriendly_x area_x that allows kids.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x next near_x a very expensive place.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a familyFriendly_x food_x food restaurant area_x the city near near_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x a food_x food restaurant rated customer rating_x stars with customers in area_x.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]","Yes, name_x is food_x rank customer rating_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",A food_x eatType_x rated customer rating_x is name_x.
"name[name_x], priceRange[priceRange_x], near[near_x]",name_x is a priceRange_xly priced place located by near_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no], near[near_x]","A eatType_x, called name_x, offers food_x food. It has a customer rating of customer rating_x out of 5, and is located in a area_x. It is not familyFriendly_x, and is located near near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","Near near_x in the area_x area, is the name_x eatType_x, it has food_x food in the priceRange_x price range with a customer rating of customer rating_x."
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",The name_x is a food_x restaurant with familyFriendly_x and is also near near_x and area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",Local eatType_x name_x serves priceRange_xly-priced traditional food_x food.
"name[name_x], food[food_x], area[area_x], near[near_x]","name_x is a delicious new food_x restaurant with beautiful area_x views. We are located near near_x, come visit us for some tasty Italian."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]",familyFriendly_x range of food_x food at priceRange_x It is located in the area_x area near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a customer rating_x rated eatType_x offering food for priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[no]",name_x is a food_x eatType_x that does not cater familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x food_x low customer rating_x located close to near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is area_x food_x customer rating_x City centre near the near_x.
"name[name_x], food[food_x], familyFriendly[yes]",name_x is a food_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",priceRange_x serves food_x food and has excellent service.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","The name_x is on the area_x near near_x. It has an customer rating_x customer rating, and typically charges priceRange_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is a eatType_x. It is located customer rating_x to the city center. and has a superb view across area_x doesn't food_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",Near near_x in the area_x area is home to name_x. They boost a priceRange_x price range and a customer rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","Looking for customer rating_x food_x food, name_x is located near area_x.  The establishment is not familyFriendly_x."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","priceRange_x priced, customer rating_xly familyFriendly_x called name_x. It is in area_x near near_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","Near the near_x, on the area_x, you can find the name_x. This customer rating_x rated eatType_x offers food_x food and it's familyFriendly_x."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",name_x familyFriendly_x with a priceRange_xly priced food_x cuisine.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x eatType_x has an excellent customer rating for priceRange_x food_x food.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",There is a five food_x name_x located customer rating_x near_x. It area_x
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x is familyFriendly_x with a priceRange_x price range. This restaurant can be found near near_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x is a eatType_x by the area_x that serves food_x food and has a customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x offers food_x food area_x near_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is food_x with a customer rating_x customer rating, near near_x, in the area_x area."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",near_x today for a low price breakfast with a food_x atmosphere priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]",The name_x is a highly food_x that serves food for customer rating_x near_x.  The Strada does not cater to children.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]",There is a familyFriendly_x food_x near the area_x area named name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",There is food_x restaurant with a price range of priceRange_x called name_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a food_x eatType_x that familyFriendly_x a area_x view near_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x is a eatType_x in the food_x price bracket serving priceRange_x near near_x and is familyFriendly_x.
"name[name_x], food[food_x], customer rating[customer rating_x]",An food_x restaurant named name_x has a customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","name_x, which is located by the area_x, familyFriendly_x costs between priceRange_x and serves food_x food."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a food_x establishment located in the area_x near near_x. It has a price range of priceRange_x and is familyFriendly_x
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",food_x food is served at name_x in area_x it has an customer rating_x customer rating score no a familyFriendly_x atmosphere.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[yes]",food_x of customer rating_x stars. It is great for the family.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","customer rating_x familyFriendly_x, name_x is an food_x style eatType_x located on the area_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x serves food_x food in the price range priceRange_x. It is near the near_x in area_x and has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]","name_x is a customer rating_x-rated eatType_x that serves food_x food, located in the area_x area."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","Situated close to near_x name_x, a food_x style area_x dishes for under twenty pound."
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]",name_x is located near near_x. It serves food_x food and has a rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",food_x customer rating_x city.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a food_x eatType_x in the area_x area with a customer rating of customer rating_x and has a priceRange_x price range.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",name_x is a eatType_x near near_x which serves priceRange_x price food_x food.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]","There'area_x, name_x, located near near_x. With a customer rating_x out of 5 customer rating and a higher price menu."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","The food_x restaurant, name_x, has a customer rating_x customer rating and is familyFriendly_x but meals are priceRange_x. It is located in the area_x near near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is a highly rated, food_x eatType_x along the area_x and near near_x."
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], area[area_x]","In the area_x area, name_x eatType_x is rated customer rating_x."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x]",name_x is a priceRange_x eatType_x in area_x with a customer rating_x out of 5 customer rating.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x serves food_x cuisine and has been given an customer rating_x rating by customers. The Phoenix is located near the area_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]","As a eatType_x serving food_x cuisine, name_x has a customer rating_x customer rating."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",food_x eatType_x located near near_x called name_x.
"name[name_x], food[food_x], near[near_x]",near_x is a restaurant providing food_x food. It is located in name_x.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[yes], near[near_x]",name_x is a familyFriendly_x food_x restaurant located near the near_x. It has a customer rating of customer rating_x out of 5.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x is a customer rating_x rated food_x eatType_x near the area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","customer rating_x low-area_x food_x take-away, near near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]","name_x is a non food_x. It has a priceRange_x price range, and is near near_x."
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]","food_x, a eatType_x on the area_x, is a great place to eat familyFriendly_x, you can take kids."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is a customer rating_x priced eat in food_x.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]","name_x is a priceRange_x, familyFriendly_x food_x restaurant that is near near_x."
"name[name_x], eatType[eatType_x], familyFriendly[yes]",There familyFriendly_x called name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","customer rating_xly rater, name_x offers food_x in area_x. familyFriendly_x costs between priceRange_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[yes], near[near_x]",Near near_x there is a priceRange_x familyFriendly_x food_x restaurant called name_x with a customer rating of customer rating_x out of 5.
"name[name_x], eatType[eatType_x], food[food_x], near[near_x]",name_x is food_x food eatType_x. It is by near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",There is a restaurant named name_x near near_x in area_x that serves food_x food and the cost is priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]","Offering food_x food, name_x is a eatType_x in area_x only with high prices."
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]","In the area_x area, the familyFriendly_x name_x serves food_x food."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",food_x stars and area_x breakfast near near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]","name_x, a food_x restaurant customer rating_x is located close to the near_x. It is familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",The customer rating_x food_x from the 'near_x'.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x]",In the area_x area is a eatType_x called name_x serving priceRange_x food_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a food_x eatType_x that has a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]","name_x is a eatType_x with food_x food, priceRange_x in the area_x and has customer rating_x ratings."
"name[name_x], priceRange[priceRange_x], area[area_x], near[near_x]","name_x is a place to eat in the area_x area, near near_x. Meals at Cotto are priceRange_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","food_x restaurant name_x, located on the area_x near the near_x, provides food at priceRange_x prices and familyFriendly_x It is rated customer rating_x with customers."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x has a customer rating_x customer rating and a price range of priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",There is familyFriendly_x with  priceRange_x price range that provides food_x and has customer rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",The name_x serves priceRange_x end food_x food and is located in the area_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]",name_x is in the area_x area near near_x.  It serves priceRange_x food_x food and has a customer eatType_x of customer rating_x.  It is familyFriendly_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], familyFriendly[yes]","A priceRange_x, familyFriendly_x eatType_x is name_x"
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x, near near_x, is a familyFriendly_x food_x food venue with an customer rating_x customer rating."
"name[name_x], food[food_x], familyFriendly[no], near[near_x]","Located near the near_x, food_x adult-only restaurant offering tasty familyFriendly_x snacks."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]","There is an food_x eatType_x called name_x, with a price range priceRange_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]","name_x, near the near_x, serves food_x food.  It has an customer rating_x customer rating, a priceRange_x price range, and is not familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",name_x is a food_x with a price range of priceRange_x.
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]","name_x has food_x cuisine familyFriendly_x, located near near_x"
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]","familyFriendly_x, name_x, priceRange_x near_x in area_x, got a customer rating_x out of 5."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]",there is a priceRange_x food_x eatType_x named name_x that has customer rating_x out of 5 customer rating near near_x in the area_x area
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",The area_x is near near_x. It is cheap but customer rating_x familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",There is a food_x eatType_x called name_x. It has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","On an customer rating_x day,  familyFriendly_x name_x, a  eatType_x food_x the area_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]","name_x is in the area_x near near_x, it serves food_x food and comes with an customer rating_x customer rating"
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]","name_x is located in area_x, serves food_x food and familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]","area_x, is a bad that doesn'food_x for sushi."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x]",You can get food_x food at name_x located in area_x with the customer rating of customer rating_x out of 5.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",name_x food_x eatType_x near the near_x has a price customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is an customer rating_x 3-star restaurant offering food_x cuisine and familyFriendly_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is an food_x restaurant located in area_x near near_x. It as a priceRange_x price range
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a food_x restaurant that has customer rating_x prices. It has a good rating and is located area_x near near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",The food_x name_x restaurant is customer rating_x near_x hotel and serves area_x end British cuisine.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",A restaurant called name_x sells average food_x customer rating_x price.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x is a food_x eatType_x located in the area_x area with a priceRange_x price range
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x food_x food is priced priceRange_xly for a customer rating of customer rating_x and is located in the area_x, boasts familyFriendly_x being located near the near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x area_x and food_x restaurant near near_x with a low customer rating.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",name_x near_x the area_x area is familyFriendly_x eatType_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]","On the area_x, name_x is located. It is a priceRange_x food_x. It is familyFriendly_x with a customer rating of customer rating_x out of 5. It is near near_x."
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",The name_x is a customer rating_x restaurant serving OK food_x food located  near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x has a food_x price range it is familyFriendly_x in area_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x is a priceRange_x-priced eatType_x offering food_x food. It is familyFriendly_x and located near near_x. It received a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",Near near_x by the area_x is a customer rating_x and eatType_x named name_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",familyFriendly_x next to shopping and entertainment the Rice Boat area_x affordable  food_x restaurant. Located near near_x  other hotels and main customer rating_xways with Carryout and Chopsticks available
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","Welcome to name_x, where our food is food_x and our customer rating is customer rating_x. Our price range is priceRange_x, we'familyFriendly_x and we're located in the area_x by the near_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no], near[near_x]","food_x eatType_x called name_x near near_x in the area_x. It has a customer rating of customer rating_x out of 5, but it is familyFriendly_x"
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",The best eatType_x in the area_x area with a customer rating of customer rating_x is the familyFriendly_x in the price range of priceRange_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x is a food_x restaurant in the area_x area.  It familyFriendly_x has a customer rating_x customer rating, and a price range of priceRange_x."
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]",name_x is a familyFriendly_x food_x eatType_x in the area_x area.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[no], near[near_x]",area_x expert in food_x near to near_x
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is a eatType_x in the area_x with customer rating_x customer ratings and a price range of priceRange_x.  It is not familyFriendly_x.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",An food_x food venue name_x familyFriendly_x is located near near_x.  It has a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",priceRange_x expensive eatType_x name_x that provides food_x. It is located area_x of the city near near_x. It has customer rating_x customer ratings familyFriendly_x families.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a eatType_x familyFriendly_x food in the food_x price range. It is located in the area_x. It is near near_x. Its customer rating is customer rating_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","With priceRange_x prices, name_x is familyFriendly_x located in area_x.  It is customer rating_x"
